radius, temp, λ 
 1.0000000000005836e13 , 384942.38290524704, 7.533594971052669e-9 
 2.0000000000005836e13 , 228888.13116842744, 1.2669944855576777e-8 
 3.0000000000005836e13 , 168870.91108350162, 1.7172880642338908e-8 
 4.0000000000005836e13 , 136097.70583309344, 2.1308221047873368e-8 
 5.0000000000005836e13 , 115124.6444253859, 2.519008865977029e-8 
 6.0000000000005836e13 , 100411.24977211039, 2.8881226023794457e-8 
 7.0000000000005836e13 , 89448.33983247721, 3.2420948286253805e-8 
 8.000000000000584e13 , 80924.18374367377, 3.58360117562101e-8 
 9.000000000000584e13 , 74082.21149841705, 3.9145699640216134e-8 
 1.0000000000000584e14 , 68453.52592138335, 4.236450878119201e-8 
 1.1000000000000584e14 , 63731.08480290973, 4.550369743380857e-8 
